datetime,temp,total_rides,precip
2024-10-01,65.3,1133213.0,0.0
2024-10-02,60.8,1115719.0,0.0
2024-10-03,64.2,1124910.0,0.0
2024-10-04,65.1,1029042.0,0.039
2024-10-05,71.2,749729.0,0.0
2024-10-06,69.2,584676.0,0.0
2024-10-07,58.0,1029363.0,0.0
2024-10-08,60.8,1112630.0,0.0
2024-10-09,60.4,1128878.0,0.0
2024-10-10,62.2,1135499.0,0.0
2024-10-11,68.0,1081054.0,0.0
2024-10-12,64.3,797609.0,0.0
2024-10-13,59.7,747736.0,0.0
2024-10-14,50.9,871313.0,0.04
2024-10-15,45.0,1026934.0,0.354
2024-10-16,47.2,1115085.0,0.0
2024-10-17,50.9,1116172.0,0.0
2024-10-18,56.0,1040830.0,0.0
2024-10-19,58.3,780096.0,0.0
2024-10-20,63.9,560631.0,0.0
2024-10-21,67.4,1023334.0,0.0
2024-10-22,65.4,1094260.0,0.002
2024-10-23,59.5,1115160.0,0.0
2024-10-24,53.5,1119817.0,0.0
2024-10-25,56.3,1020490.0,0.731
2024-10-26,49.8,723801.0,0.0
2024-10-27,49.2,528559.0,0.0
2024-10-28,56.2,1000400.0,0.0
2024-10-29,74.0,1097380.0,0.0
2024-10-30,73.6,1109857.0,0.0
2024-10-31,60.9,1030888.0,0.025
2024-11-01,45.7,1000780.0,0.0
2024-11-02,48.1,691836.0,0.0
2024-11-03,57.0,495732.0,0.027
2024-11-04,65.9,936732.0,0.35
2024-11-05,64.8,898684.0,1.099
2024-11-06,53.2,1059964.0,0.0
2024-11-07,51.5,1095186.0,0.0
2024-11-08,52.6,998099.0,0.0
2024-11-09,51.8,679925.0,0.117
2024-11-10,54.6,539309.0,0.121
2024-11-11,51.8,914845.0,0.0
2024-11-12,46.4,1078087.0,0.0
2024-11-13,46.7,1068009.0,0.321
2024-11-14,51.6,1060012.0,0.172
2024-11-15,49.8,1000181.0,0.0
2024-11-16,48.8,715925.0,0.0
2024-11-17,52.8,542728.0,0.01
2024-11-18,55.4,948150.0,0.364
2024-11-19,58.9,1078952.0,0.105
2024-11-20,42.5,1054456.0,0.023
2024-11-21,34.4,954470.0,0.147
2024-11-22,43.6,1015409.0,0.0
2024-11-23,41.0,724965.0,0.0
2024-11-24,45.2,523539.0,0.0
2024-11-25,48.4,857014.0,0.0
2024-11-26,34.0,875296.0,0.0
2024-11-27,39.3,786166.0,0.0
2024-11-28,30.4,323373.0,0.0
2024-11-29,23.9,568640.0,0.0
2024-11-30,19.9,526429.0,0.0
2024-12-01,20.4,426319.0,0.0
2024-12-02,20.4,903267.0,0.0
2024-12-03,23.9,1013641.0,0.0
2024-12-04,30.7,1011615.0,0.0
2024-12-05,20.6,966057.0,0.0
2024-12-06,24.2,930979.0,0.0
2024-12-07,37.6,671260.0,0.0
2024-12-08,48.0,526452.0,0.0
2024-12-09,49.2,949811.0,0.0
2024-12-10,34.4,1004093.0,0.0
2024-12-11,26.7,978107.0,0.0
2024-12-12,11.2,832311.0,0.0
2024-12-13,19.2,882539.0,0.0
2024-12-14,33.6,610753.0,0.182
2024-12-15,43.0,475192.0,0.074
2024-12-16,45.5,893964.0,0.019
2024-12-17,36.4,974018.0,0.0
2024-12-18,32.4,960168.0,0.0
2024-12-19,30.1,926319.0,0.042
2024-12-20,31.8,836241.0,0.039
2024-12-21,21.7,581427.0,0.0
2024-12-22,26.9,459705.0,0.0
2024-12-23,37.1,693736.0,0.0
2024-12-24,36.2,522712.0,0.0
2024-12-25,36.7,232879.0,0.0
2024-12-26,44.8,592056.0,0.022
2024-12-27,49.1,640164.0,0.21
2024-12-28,49.5,571490.0,0.01
2024-12-29,43.6,389660.0,0.526
2024-12-30,37.9,733119.0,0.0
2024-12-31,39.0,667653.0,0.498
2025-01-01,30.2,415998.0,0.029
2025-01-02,28.3,701885.0,0.001
2025-01-03,23.9,715025.0,0.0
2025-01-04,19.2,524768.0,0.0
2025-01-05,20.8,392464.0,0.006
2025-01-06,27.4,798143.0,0.003
2025-01-07,22.1,910360.0,0.0
2025-01-08,20.9,917973.0,0.0
2025-01-09,21.2,919111.0,0.0
2025-01-10,26.8,806740.0,0.063
2025-01-11,29.5,567740.0,0.0
2025-01-12,30.3,410932.0,0.024
2025-01-13,15.5,863414.0,0.0
2025-01-14,14.3,917760.0,0.002
2025-01-15,12.9,928768.0,0.0
2025-01-16,30.5,975083.0,0.002
2025-01-17,36.9,917372.0,0.0
2025-01-18,30.5,588825.0,0.0
2025-01-19,8.8,366249.0,0.0
2025-01-20,5.2,420728.0,0.0
2025-01-21,-1.3,503796.0,0.0
2025-01-22,14.9,850675.0,0.004
2025-01-23,19.6,941690.0,0.001
2025-01-24,14.2,834569.0,0.0
2025-01-25,31.0,582714.0,0.0
2025-01-26,25.1,430912.0,0.0
2025-01-27,31.9,904492.0,0.0
2025-01-28,39.5,999458.0,0.0
2025-01-29,41.4,1000549.0,0.0
2025-01-30,39.4,992724.0,0.265
2025-01-31,38.5,813537.0,0.809
2025-02-01,32.2,607443.0,0.0
2025-02-02,38.9,448893.0,0.0
2025-02-03,40.3,905960.0,0.0
2025-02-04,27.8,999402.0,0.0
2025-02-05,28.8,980712.0,0.008
2025-02-06,33.2,946313.0,0.003
2025-02-07,26.5,903230.0,0.0
2025-02-08,31.1,580036.0,0.002
2025-02-09,27.9,462357.0,0.0
2025-02-10,26.4,906682.0,0.0
2025-02-11,26.1,996838.0,0.0
2025-02-12,26.8,819858.0,0.073
2025-02-13,17.9,938712.0,0.0
2025-02-14,16.4,857281.0,0.055
2025-02-15,31.5,589172.0,0.003
2025-02-16,24.9,453318.0,0.0
2025-02-17,6.8,608111.0,0.0
2025-02-18,5.9,819457.0,0.0
2025-02-19,11.0,915116.0,0.0
2025-02-20,15.4,954984.0,0.0
2025-02-21,20.2,882547.0,0.0
2025-02-22,26.4,605162.0,0.0
2025-02-23,35.2,455531.0,0.0
2025-02-24,46.5,932151.0,0.0
2025-02-25,46.3,971693.0,0.004
2025-02-26,42.9,1007012.0,0.045
2025-02-27,42.2,1015859.0,0.012
2025-02-28,45.6,943103.0,0.0
2025-03-01,28.2,621004.0,0.0
2025-03-02,28.2,471677.0,0.0
2025-03-03,40.0,923600.0,0.0
2025-03-04,46.6,970440.0,0.669
2025-03-05,43.3,1001832.0,0.231
2025-03-06,34.6,1024625.0,0.0
2025-03-07,36.2,891105.0,0.104
2025-03-08,39.7,657020.0,0.0
2025-03-09,47.1,494977.0,0.0
2025-03-10,55.6,965340.0,0.0
2025-03-11,46.8,1044893.0,0.0
2025-03-12,43.7,1055231.0,0.0
2025-03-13,47.0,1066651.0,0.0
2025-03-14,64.9,1026472.0,0.0
2025-03-15,58.8,988230.0,0.509
2025-03-16,35.6,486226.0,0.156
2025-03-17,40.6,980663.0,0.0
2025-03-18,56.7,1064826.0,0.0
2025-03-19,43.6,996252.0,0.599
2025-03-20,37.0,1008697.0,0.173
2025-03-21,45.9,952572.0,0.0
2025-03-22,41.0,662138.0,0.0
2025-03-23,42.3,482605.0,0.207
2025-03-24,41.5,812423.0,0.0
2025-03-25,40.2,909204.0,0.0
2025-03-26,41.0,918817.0,0.0
2025-03-27,49.4,899353.0,0.0
2025-03-28,63.9,852422.0,0.316
2025-03-29,63.1,652619.0,0.04
2025-03-30,59.4,474434.0,0.186
2025-03-31,40.1,877253.0,0.002
2025-04-01,40.1,1008757.0,0.0
2025-04-02,52.2,900804.0,1.243
2025-04-03,50.0,1098881.0,0.0
2025-04-04,45.2,1003373.0,0.083
2025-04-05,46.6,741127.0,0.197
2025-04-06,43.0,549200.0,0.0
2025-04-07,38.7,953778.0,0.0
2025-04-08,34.8,1043729.0,0.0
2025-04-09,39.2,1037071.0,0.039
2025-04-10,41.1,1047356.0,0.0
2025-04-11,44.9,996381.0,0.0
2025-04-12,49.9,713322.0,0.0
2025-04-13,58.2,549506.0,0.0
2025-04-14,60.1,983991.0,0.0
2025-04-15,48.7,1060157.0,0.01
2025-04-16,42.9,1086584.0,0.0
2025-04-17,53.7,1057022.0,0.06
2025-04-18,69.6,909950.0,0.02
2025-04-19,52.7,689477.0,0.208
2025-04-20,53.5,469762.0,0.118
2025-04-21,54.8,925527.0,0.18
2025-04-22,58.9,1085891.0,0.0
2025-04-23,65.6,1069268.0,0.255
2025-04-24,61.8,1101813.0,0.0
2025-04-25,51.9,981209.0,0.217
2025-04-26,48.8,745934.0,0.043
2025-04-27,54.6,575806.0,0.0
2025-04-28,69.5,997932.0,0.0
2025-04-29,68.7,1077993.0,0.0
2025-04-30,54.3,1067693.0,0.009
2025-05-01,60.5,1052036.0,0.291
2025-05-02,52.3,994975.0,0.01
2025-05-03,49.6,710841.0,0.0
2025-05-04,49.7,510182.0,0.099
2025-05-05,52.9,989428.0,0.041
2025-05-06,61.8,1104708.0,0.0
2025-05-07,59.2,1096004.0,0.0
2025-05-08,51.8,1070630.0,0.0
2025-05-09,53.5,1001895.0,0.0
2025-05-10,56.8,716323.0,0.0
2025-05-11,58.5,532775.0,0.0
2025-05-12,65.4,963449.0,0.009
2025-05-13,68.8,1069686.0,0.001
2025-05-14,67.6,1088750.0,0.0
2025-05-15,77.2,1061430.0,0.077
2025-05-16,76.4,1028513.0,0.0
2025-05-17,62.7,757857.0,0.0
2025-05-18,56.0,620063.0,0.0
2025-05-19,49.7,963658.0,0.0
2025-05-20,54.7,958592.0,0.536
2025-05-21,51.3,1024681.0,0.067
2025-05-22,51.9,1056383.0,0.0
2025-05-23,52.4,982241.0,0.0
2025-05-24,55.8,753569.0,0.0
2025-05-25,57.7,604866.0,0.044
2025-05-26,57.5,562574.0,0.0
2025-05-27,60.9,1016593.0,0.0
2025-05-28,58.6,1021279.0,0.397
2025-05-29,62.5,1056014.0,0.0
2025-05-30,66.2,1007208.0,0.0
2025-05-31,58.3,755816.0,0.0
2025-06-01,58.1,591274.0,0.0
2025-06-02,69.6,982342.0,0.0
2025-06-03,78.9,1078623.0,0.025
2025-06-04,64.7,990090.0,0.759
2025-06-05,64.3,1077836.0,0.0
2025-06-06,68.4,1013753.0,0.0
2025-06-07,67.7,778878.0,0.0
2025-06-08,68.4,596635.0,0.537
2025-06-09,64.6,957496.0,0.0
2025-06-10,67.7,1058420.0,0.0
2025-06-11,78.3,1073559.0,0.0
2025-06-12,73.3,1081632.0,0.0
2025-06-13,67.2,949095.0,0.05
2025-06-14,66.6,846481.0,0.0
2025-06-15,70.2,602284.0,0.0
2025-06-16,75.0,906331.0,0.0
2025-06-17,82.3,1034394.0,0.0
2025-06-18,72.9,935123.0,1.63
2025-06-19,74.7,883521.0,0.518
2025-06-20,77.6,965855.0,0.0
2025-06-21,86.2,768271.0,0.0
2025-06-22,87.5,580626.0,0.0
2025-06-23,87.6,874951.0,0.0
2025-06-24,84.3,974655.0,0.037
2025-06-25,77.8,1015822.0,0.426
