datetime,total_rides,temp,precip
2024-10-01,1133213,65.3,0.0
2024-10-02,1115719,60.8,0.0
2024-10-03,1124910,64.2,0.0
2024-10-04,1029042,65.1,0.039
2024-10-05,749729,71.2,0.0
2024-10-06,584676,69.2,0.0
2024-10-07,1029363,58.0,0.0
2024-10-08,1112630,60.8,0.0
2024-10-09,1128878,60.4,0.0
2024-10-10,1135499,62.2,0.0
2024-10-11,1081054,68.0,0.0
2024-10-12,797609,64.3,0.0
2024-10-13,747736,59.7,0.0
2024-10-14,871313,50.9,0.04
2024-10-15,1026934,45.0,0.354
2024-10-16,1115085,47.2,0.0
2024-10-17,1116172,50.9,0.0
2024-10-18,1040830,56.0,0.0
2024-10-19,780096,58.3,0.0
2024-10-20,560631,63.9,0.0
2024-10-21,1023334,67.4,0.0
2024-10-22,1094260,65.4,0.002
2024-10-23,1115160,59.5,0.0
2024-10-24,1119817,53.5,0.0
2024-10-25,1020490,56.3,0.731
2024-10-26,723801,49.8,0.0
2024-10-27,528559,49.2,0.0
2024-10-28,1000400,56.2,0.0
2024-10-29,1097380,74.0,0.0
2024-10-30,1109857,73.6,0.0
2024-10-31,1030888,60.9,0.025
2024-11-01,1000780,45.7,0.0
2024-11-02,691836,48.1,0.0
2024-11-03,495732,57.0,0.027
2024-11-04,936732,65.9,0.35
2024-11-05,898684,64.8,1.099
2024-11-06,1059964,53.2,0.0
2024-11-07,1095186,51.5,0.0
2024-11-08,998099,52.6,0.0
2024-11-09,679925,51.8,0.117
2024-11-10,539309,54.6,0.121
2024-11-11,914845,51.8,0.0
2024-11-12,1078087,46.4,0.0
2024-11-13,1068009,46.7,0.321
2024-11-14,1060012,51.6,0.172
2024-11-15,1000181,49.8,0.0
2024-11-16,715925,48.8,0.0
2024-11-17,542728,52.8,0.01
2024-11-18,948150,55.4,0.364
2024-11-19,1078952,58.9,0.105
2024-11-20,1054456,42.5,0.023
2024-11-21,954470,34.4,0.147
2024-11-22,1015409,43.6,0.0
2024-11-23,724965,41.0,0.0
2024-11-24,523539,45.2,0.0
2024-11-25,857014,48.4,0.0
2024-11-26,875296,34.0,0.0
2024-11-27,786166,39.3,0.0
2024-11-28,323373,30.4,0.0
2024-11-29,568640,23.9,0.0
2024-11-30,526429,19.9,0.0
2024-12-01,426319,20.4,0.0
2024-12-02,903267,20.4,0.0
2024-12-03,1013641,23.9,0.0
2024-12-04,1011615,30.7,0.0
2024-12-05,966057,20.6,0.0
2024-12-06,930979,24.2,0.0
2024-12-07,671260,37.6,0.0
2024-12-08,526452,48.0,0.0
2024-12-09,949811,49.2,0.0
2024-12-10,1004093,34.4,0.0
2024-12-11,978107,26.7,0.0
2024-12-12,832311,11.2,0.0
2024-12-13,882539,19.2,0.0
2024-12-14,610753,33.6,0.182
2024-12-15,475192,43.0,0.074
2024-12-16,893964,45.5,0.019
2024-12-17,974018,36.4,0.0
2024-12-18,960168,32.4,0.0
2024-12-19,926319,30.1,0.042
2024-12-20,836241,31.8,0.039
2024-12-21,581427,21.7,0.0
2024-12-22,459705,26.9,0.0
2024-12-23,693736,37.1,0.0
2024-12-24,522712,36.2,0.0
2024-12-25,232879,36.7,0.0
2024-12-26,592056,44.8,0.022
2024-12-27,640164,49.1,0.21
2024-12-28,571490,49.5,0.01
2024-12-29,389660,43.6,0.526
2024-12-30,733119,37.9,0.0
2024-12-31,667653,39.0,0.498
2025-01-01,415998,30.2,0.029
2025-01-02,701885,28.3,0.001
2025-01-03,715025,23.9,0.0
2025-01-04,524768,19.2,0.0
2025-01-05,392464,20.8,0.006
2025-01-06,798143,27.4,0.003
2025-01-07,910360,22.1,0.0
2025-01-08,917973,20.9,0.0
2025-01-09,919111,21.2,0.0
2025-01-10,806740,26.8,0.063
2025-01-11,567740,29.5,0.0
2025-01-12,410932,30.3,0.024
2025-01-13,863414,15.5,0.0
2025-01-14,917760,14.3,0.002
2025-01-15,928768,12.9,0.0
2025-01-16,975083,30.5,0.002
2025-01-17,917372,36.9,0.0
2025-01-18,588825,30.5,0.0
2025-01-19,366249,8.8,0.0
2025-01-20,420728,5.2,0.0
2025-01-21,503796,-1.3,0.0
2025-01-22,850675,14.9,0.004
2025-01-23,941690,19.6,0.001
2025-01-24,834569,14.2,0.0
2025-01-25,582714,31.0,0.0
2025-01-26,430912,25.1,0.0
2025-01-27,904492,31.9,0.0
2025-01-28,999458,39.5,0.0
2025-01-29,1000549,41.4,0.0
2025-01-30,992724,39.4,0.265
2025-01-31,813537,38.5,0.809
2025-02-01,607443,32.2,0.0
2025-02-02,448893,38.9,0.0
2025-02-03,905960,40.3,0.0
2025-02-04,999402,27.8,0.0
2025-02-05,980712,28.8,0.008
2025-02-06,946313,33.2,0.003
2025-02-07,903230,26.5,0.0
2025-02-08,580036,31.1,0.002
2025-02-09,462357,27.9,0.0
2025-02-10,906682,26.4,0.0
2025-02-11,996838,26.1,0.0
2025-02-12,819858,26.8,0.073
2025-02-13,938712,17.9,0.0
2025-02-14,857281,16.4,0.055
2025-02-15,589172,31.5,0.003
2025-02-16,453318,24.9,0.0
2025-02-17,608111,6.8,0.0
2025-02-18,819457,5.9,0.0
2025-02-19,915116,11.0,0.0
2025-02-20,954984,15.4,0.0
2025-02-21,882547,20.2,0.0
2025-02-22,605162,26.4,0.0
2025-02-23,455531,35.2,0.0
2025-02-24,932151,46.5,0.0
2025-02-25,971693,46.3,0.004
2025-02-26,1007012,42.9,0.045
2025-02-27,1015859,42.2,0.012
2025-02-28,943103,45.6,0.0
2025-03-01,621004,28.2,0.0
2025-03-02,471677,28.2,0.0
2025-03-03,923600,40.0,0.0
2025-03-04,970440,46.6,0.669
2025-03-05,1001832,43.3,0.231
2025-03-06,1024625,34.6,0.0
2025-03-07,891105,36.2,0.104
2025-03-08,657020,39.7,0.0
2025-03-09,494977,47.1,0.0
2025-03-10,965340,55.6,0.0
2025-03-11,1044893,46.8,0.0
2025-03-12,1055231,43.7,0.0
2025-03-13,1066651,47.0,0.0
2025-03-14,1026472,64.9,0.0
2025-03-15,988230,58.8,0.509
2025-03-16,486226,35.6,0.156
2025-03-17,980663,40.6,0.0
2025-03-18,1064826,56.7,0.0
2025-03-19,996252,43.6,0.599
2025-03-20,1008697,37.0,0.173
2025-03-21,952572,45.9,0.0
2025-03-22,662138,41.0,0.0
2025-03-23,482605,42.3,0.207
2025-03-24,812423,41.5,0.0
2025-03-25,909204,40.2,0.0
2025-03-26,918817,41.0,0.0
2025-03-27,899353,49.4,0.0
2025-03-28,852422,63.9,0.316
2025-03-29,652619,63.1,0.04
2025-03-30,474434,59.4,0.186
2025-03-31,877253,40.1,0.002
2025-04-01,1008757,40.1,0.0
2025-04-02,900804,52.2,1.243
2025-04-03,1098881,50.0,0.0
2025-04-04,1003373,45.2,0.083
2025-04-05,741127,46.6,0.197
2025-04-06,549200,43.0,0.0
2025-04-07,953778,38.7,0.0
2025-04-08,1043729,34.8,0.0
2025-04-09,1037071,39.2,0.039
2025-04-10,1047356,41.1,0.0
2025-04-11,996381,44.9,0.0
2025-04-12,713322,49.9,0.0
2025-04-13,549506,58.2,0.0
2025-04-14,983991,60.1,0.0
2025-04-15,1060157,48.7,0.01
2025-04-16,1086584,42.9,0.0
2025-04-17,1057022,53.7,0.06
2025-04-18,909950,69.6,0.02
2025-04-19,689477,52.7,0.208
2025-04-20,469762,53.5,0.118
2025-04-21,925527,54.8,0.18
2025-04-22,1085891,58.9,0.0
2025-04-23,1069268,65.6,0.255
2025-04-24,1101813,61.8,0.0
2025-04-25,981209,51.9,0.217
2025-04-26,745934,48.8,0.043
2025-04-27,575806,54.6,0.0
2025-04-28,997932,69.5,0.0
2025-04-29,1077993,68.7,0.0
2025-04-30,1067693,54.3,0.009
2025-05-01,1052036,60.5,0.291
2025-05-02,994975,52.3,0.01
2025-05-03,710841,49.6,0.0
2025-05-04,510182,49.7,0.099
2025-05-05,989428,52.9,0.041
2025-05-06,1104708,61.8,0.0
2025-05-07,1096004,59.2,0.0
2025-05-08,1070630,51.8,0.0
2025-05-09,1001895,53.5,0.0
2025-05-10,716323,56.8,0.0
2025-05-11,532775,58.5,0.0
2025-05-12,963449,65.4,0.009
2025-05-13,1069686,68.8,0.001
2025-05-14,1088750,67.6,0.0
2025-05-15,1061430,77.2,0.077
2025-05-16,1028513,76.4,0.0
2025-05-17,757857,62.7,0.0
2025-05-18,620063,56.0,0.0
2025-05-19,963658,49.7,0.0
2025-05-20,958592,54.7,0.536
2025-05-21,1024681,51.3,0.067
2025-05-22,1056383,51.9,0.0
2025-05-23,982241,52.4,0.0
2025-05-24,753569,55.8,0.0
2025-05-25,604866,57.7,0.044
2025-05-26,562574,57.5,0.0
2025-05-27,1016593,60.9,0.0
2025-05-28,1021279,58.6,0.397
2025-05-29,1056014,62.5,0.0
2025-05-30,1007208,66.2,0.0
2025-05-31,755816,58.3,0.0
2025-06-01,591274,58.1,0.0
2025-06-02,982342,69.6,0.0
2025-06-03,1078623,78.9,0.025
2025-06-04,990090,64.7,0.759
2025-06-05,1077836,64.3,0.0
2025-06-06,1013753,68.4,0.0
2025-06-07,778878,67.7,0.0
2025-06-08,596635,68.4,0.537
2025-06-09,957496,64.6,0.0
2025-06-10,1058420,67.7,0.0
2025-06-11,1073559,78.3,0.0
2025-06-12,1081632,73.3,0.0
2025-06-13,949095,67.2,0.05
2025-06-14,846481,66.6,0.0
2025-06-15,602284,70.2,0.0
2025-06-16,906331,75.0,0.0
2025-06-17,1034394,82.3,0.0
2025-06-18,935123,72.9,1.63
2025-06-19,883521,74.7,0.518
2025-06-20,965855,77.6,0.0
2025-06-21,768271,86.2,0.0
2025-06-22,580626,87.5,0.0
2025-06-23,874951,87.6,0.0
2025-06-24,974655,84.3,0.037
2025-06-25,1015822,77.8,0.426
2025-06-26,1032601,85.9,0.002
2025-06-27,959779,83.3,0.001
2025-06-28,764926,77.3,0.0
2025-06-29,639360,83.2,0.048
2025-06-30,911202,82.5,0.0
2025-07-01,1053386,79.9,0.0
2025-07-02,1017215,81.8,0.0
2025-07-03,978728,83.1,0.0
2025-07-04,593687,82.6,0.089
2025-07-05,704274,86.1,0.0
2025-07-06,558860,78.4,0.522
2025-07-07,931750,73.3,0.0
2025-07-08,1001024,76.4,0.06
2025-07-09,1016955,74.3,0.002
2025-07-10,1030546,75.6,0.23
2025-07-11,927438,80.0,1.122
2025-07-12,752756,77.6,0.031
2025-07-13,596593,76.7,0.0
2025-07-14,928910,77.7,0.0
2025-07-15,1018584,82.3,0.0
2025-07-16,995098,80.7,0.235
2025-07-17,1033378,69.9,0.0
2025-07-18,1019793,71.6,0.0
2025-07-19,749181,78.4,0.172
2025-07-20,622152,73.3,0.034
2025-07-21,940119,75.1,0.0
2025-07-22,1061030,79.4,0.0
2025-07-23,1037419,84.1,0.0
2025-07-24,953011,82.9,0.245
2025-07-25,918825,78.1,2.477
2025-07-26,761417,78.2,0.108
2025-07-27,605792,81.6,0.003
2025-07-28,885631,83.8,0.007
2025-07-29,1003729,84.0,0.0
2025-07-30,1003815,77.5,0.143
2025-07-31,1110087,72.2,0.011
2025-08-01,1110978,71.0,0.0
2025-08-02,895219,71.1,0.0
2025-08-03,717388,72.6,0.0
2025-08-04,985293,75.4,0.0
2025-08-05,1058781,76.3,0.0
2025-08-06,1056453,78.5,0.0
2025-08-07,1035165,83.1,0.0
2025-08-08,966158,84.5,0.0
2025-08-09,767179,85.3,0.0
2025-08-10,612405,84.1,0.012
2025-08-11,920836,81.9,0.188
2025-08-12,944116,77.1,0.193
2025-08-13,1037956,77.1,0.0
2025-08-14,1027755,76.5,0.0
2025-08-15,1010171,81.7,0.0
2025-08-16,789758,82.9,0.049
2025-08-17,654776,76.3,1.197
2025-08-18,926055,77.0,0.404
2025-08-19,1081670,75.4,0.055
2025-08-20,1102216,72.7,0.0
2025-08-21,1110168,72.1,0.0
2025-08-22,1012071,74.0,0.0
2025-08-23,759772,75.0,0.0
2025-08-24,600679,67.4,0.0
2025-08-25,1016288,63.6,0.0
2025-08-26,1111805,65.1,0.0
2025-08-27,1126843,67.0,0.0
2025-08-28,1162957,68.3,0.36
2025-08-29,1106380,64.8,0.0
2025-08-30,823224,67.3,0.0
2025-08-31,703551,66.8,0.0
2025-09-01,638632,68.8,0.0
2025-09-02,1120849,69.9,0.0
2025-09-03,1131052,66.5,0.047
2025-09-04,1139832,59.1,0.0
2025-09-05,1088392,62.4,0.0
2025-09-06,795056,58.5,0.0
2025-09-07,626339,58.8,0.0
2025-09-08,1046923,62.0,0.0
2025-09-09,1125529,65.7,0.0
2025-09-10,1142181,72.2,0.0
2025-09-11,1137553,71.4,0.0
2025-09-12,1072555,73.2,0.0
2025-09-13,713765,71.9,0.191
2025-09-14,601665,74.0,0.0
2025-09-15,1051597,74.2,0.0
2025-09-16,1136955,73.3,0.0
2025-09-17,1151955,72.9,0.0
2025-09-18,1159134,74.0,0.0
2025-09-19,1095995,77.8,0.0
2025-09-20,769544,72.9,0.105
2025-09-21,615493,73.3,0.07
2025-09-22,1046065,74.4,0.0
2025-09-23,1122056,70.6,0.106
2025-09-24,1162061,68.4,0.0
2025-09-25,1174382,66.9,0.0
2025-09-26,1032934,70.6,0.0
2025-09-27,786591,75.1,0.0
2025-09-28,601677,71.7,0.0
2025-09-29,1024117,74.4,0.0
2025-09-30,1142832,72.8,0.0
2025-10-01,1176777,70.5,0.0
2025-10-02,1140580,70.6,0.0
2025-10-03,1056801,76.8,0.0
2025-10-04,757475,77.2,0.0
2025-10-05,586492,75.5,0.0
2025-10-06,1013130,73.8,0.082
2025-10-07,1079755,62.0,1.178
2025-10-08,1168817,56.8,0.0
2025-10-09,1185412,55.4,0.0
2025-10-10,1096878,58.2,0.003
2025-10-11,825840,59.8,0.0
2025-10-12,825926,59.2,0.0
2025-10-13,892664,62.4,0.0
2025-10-14,1137325,63.0,0.0
2025-10-15,1105838,58.9,0.168
2025-10-16,1142726,61.5,0.0
2025-10-17,1043959,64.9,0.0
2025-10-18,827892,67.7,0.375
2025-10-19,555284,54.3,0.671
2025-10-20,1024396,54.0,0.0
2025-10-21,1082012,49.8,0.053
2025-10-22,1082456,47.9,0.0
2025-10-23,1098437,45.6,0.0
2025-10-24,1002404,43.7,0.0
2025-10-25,683877,47.1,0.0
2025-10-26,540295,52.9,0.0
2025-10-27,947431,52.0,0.0
2025-10-28,1102616,52.6,0.0
2025-10-29,1112291,52.0,0.0
2025-10-30,1121353,48.6,0.0
2025-10-31,1033896,46.8,0.016
